Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
5,144,HOU,Sherrick McManis,DB,22,2020,0,0,0,9,2,142,0,0,0,0,0,0,0,0,0,0,0,125,3,1,Northwestern,College Stats,McMaSh99
5,145,MIA,Nolan Carroll,DB,23,2017,0,0,4,20,11,103,0,0,0,0,0,0,0,0,0,0,0,239,8,3,Maryland,College Stats,CarrNo00
5,146,SDG,Cam Thomas,DT,23,2017,0,0,2,16,9,103,0,0,0,0,0,0,0,0,0,0,0,83,1,7.5,North Carolina,College Stats,ThomCa99
5,147,NYG,Mitch Petrus,G,23,2012,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,PetrMi20
5,148,TEN,Robert Johnson,DB,23,2012,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,14,1,,Utah,,JohnRo99
5,149,STL,Hall Davis,DE,23,2012,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana,,DaviHa21
5,150,NWE,Zoltan Mesko,P,24,2013,0,0,0,6,6,55,0,0,0,0,0,0,0,0,0,0,0,2,,,Michigan,College Stats,MeskZo99
5,151,PIT,Chris Scott,G,23,2016,0,0,0,9,0,45,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,,ScotCh23
5,152,CIN,Otis Hudson,T,24,,0,0,0,,,,,,,,,,,,,,,,,,East. Illinois,,HudsOt20
5,153,JAX,Austen Lane,DE,22,2013,0,0,2,7,7,30,0,0,0,0,0,0,0,0,0,0,0,47,,3,Murray St.,,LaneAu99
5,154,GNB,Andrew Quarless,TE,21,2015,0,0,2,9,9,60,0,0,0,0,0,0,0,0,89,940,6,3,,,Penn St.,College Stats,QuarAn00
5,155,ARI,John Skelton,QB,22,2012,0,0,1,4,4,20,320,602,3707,15,25,42,182,0,0,0,0,,,,Fordham,,SkelJo00
5,156,BAL,David Reed,WR,23,2013,0,0,0,2,2,36,0,0,0,0,0,2,31,0,6,68,0,18,,,Utah,College Stats,ReedDa00
5,157,BAL,Arthur Jones,DE,24,2017,0,0,2,18,14,64,0,0,0,0,0,0,0,0,0,0,0,99,,10,Syracuse,College Stats,JoneAr22
5,158,NOR,Matt Tennant,C,23,2012,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,,TennMa20
5,159,PHI,Riley Cooper,WR,22,2015,0,0,3,17,17,88,0,0,0,0,0,0,18,0,169,2418,18,14,,,Florida,College Stats,CoopRi00
5,160,CLE,Larry Asante,DB,22,2015,0,0,0,2,,39,0,0,0,0,0,0,0,0,0,0,0,58,1,,Nebraska,College Stats,AsanLa99
5,161,MIN,Chris DeGeare,G,23,2010,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest,,DeGeCh20
5,162,IND,Brody Eldridge,TE,23,2011,0,0,2,0,0,27,0,0,0,0,0,0,0,0,14,84,0,1,,,Oklahoma,College Stats,EldrBr00
5,163,MIA,Reshad Jones,DB,22,2019,0,2,8,44,44,128,0,0,0,0,0,0,0,0,0,0,0,599,21,10.5,Georgia,College Stats,JoneRe99
5,164,PIT,Crezdon Butler,DB,23,2016,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,26,,,Clemson,College Stats,ButlCr99
5,165,ATL,Kerry Meier,WR,23,2011,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas,,MeieKe00
5,166,PIT,Stevenson Sylvester,LB,22,2013,0,0,0,6,6,50,0,0,0,0,0,0,0,0,0,0,0,25,,,Utah,College Stats,SylvSt99
5,167,MIN,Nate Triplett,LB,23,2011,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Minnesota,College Stats,TripNa99
5,168,SDG,Jonathan Crompton,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,,CromJo00
5,169,GNB,Marshall Newhouse,G,21,2020,0,0,4,40,20,133,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats,NewhMa20
